,year,times_cited,type,id,title,journal.id,journal.title,volume,issue,researcherID
0,2021,0,article,pub.1138524385,A real-time IGRT method using a Kalman filter framework to extract 3D positions from 2D projections.,jour.1018310,Physics in Medicine and Biology,,,ur.0731267322.21
1,2021,0,article,pub.1138392446,The first-in-human implementation of adaptive 4D cone beam CT for lung cancer radiotherapy: 4DCBCT in less time with less dose,jour.1094728,Radiotherapy and Oncology,161,,ur.0731267322.21
2,2021,0,article,pub.1137351609,The adaptation and investigation of cone-beam CT reconstruction algorithms for horizontal rotation fixed-gantry scans of rabbits.,jour.1018310,Physics in Medicine and Biology,66,10,ur.0731267322.21
3,2021,0,article,pub.1137857401,First experimental evaluation of multi-target multileaf collimator tracking during volumetric modulated arc therapy for locally advanced prostate cancer,jour.1094728,Radiotherapy and Oncology,160,,ur.0731267322.21
4,2021,1,article,pub.1137716857,Study protocol of the LARK (TROG 17.03) clinical trial: a phase II trial investigating the dosimetric impact of Liver Ablative Radiotherapy using Kilovoltage intrafraction monitoring,jour.1024632,BMC Cancer,21,1,ur.0731267322.21
5,2021,0,article,pub.1136006312,Reducing 4DCBCT scan time and dose through motion compensated acquisition and reconstruction.,jour.1018310,Physics in Medicine and Biology,66,7,ur.0731267322.21
6,2021,0,article,pub.1135841291,Adaptive CaRdiac cOne BEAm computed Tomography (ACROBEAT): Developing the next generation of cardiac cone beam CT imaging,jour.1020133,Medical Physics,48,5,ur.0731267322.21
7,2021,0,article,pub.1136006190,Pre-treatment and real-time image guidance for a fixed-beam radiotherapy system.,jour.1018310,Physics in Medicine and Biology,66,6,ur.0731267322.21
8,2021,0,article,pub.1134670388,Minimizing 4DCBCT imaging dose and scan time with Respiratory Motion Guided 4DCBCT: a pre-clinical investigation,jour.1053001,Biomedical Physics & Engineering Express,7,2,ur.0731267322.21
9,2021,0,article,pub.1133869341,Toward real‐time verification for MLC tracking treatments using time‐resolved EPID imaging,jour.1020133,Medical Physics,48,3,ur.0731267322.21
10,2020,3,article,pub.1130218607,Geometric uncertainty analysis of MLC tracking for lung SABR.,jour.1018310,Physics in Medicine and Biology,65,23,ur.0731267322.21
11,2020,1,article,pub.1132155992,Adapting to the motion of multiple independent targets using multileaf collimator tracking for locally advanced prostate cancer: Proof of principle simulation study,jour.1020133,Medical Physics,48,1,ur.0731267322.21
12,2020,5,article,pub.1132332818,"A review of cardiac radioablation (CR) for arrhythmias: procedures, technology and future opportunities",jour.1085033,International Journal of Radiation Oncology • Biology • Physics,109,3,ur.0731267322.21
13,2020,2,article,pub.1132270874,"MLC tracking for lung SABR is feasible, efficient and delivers high-precision target dose and lower normal tissue dose",jour.1094728,Radiotherapy and Oncology,155,,ur.0731267322.21
14,2020,2,article,pub.1131742011,First experimental investigation of simultaneously tracking two independently moving targets on an MRI‐linac using real‐time MRI and MLC tracking,jour.1020133,Medical Physics,47,12,ur.0731267322.21
15,2020,1,article,pub.1131138013,Toward improved 3D carotid artery imaging with Adaptive CaRdiac cOne BEAm computed Tomography (ACROBEAT),jour.1020133,Medical Physics,47,11,ur.0731267322.21
16,2020,6,article,pub.1128170489,Evaluating reconstruction algorithms for respiratory motion guided acquisition.,jour.1018310,Physics in Medicine and Biology,65,17,ur.0731267322.21
17,2020,4,article,pub.1130210631,Is multileaf collimator tracking or gating a better intrafraction motion adaptation strategy? An analysis of the TROG 15.01 stereotactic prostate ablative radiotherapy with KIM (SPARK) trial,jour.1094728,Radiotherapy and Oncology,151,,ur.0731267322.21
18,2020,0,article,pub.1122017464,Optimising lung imaging for cancer radiation therapy,jour.1027009,European Journal of Operational Research,282,3,ur.0731267322.21
19,2020,1,article,pub.1125174417,Reducing 4D CT imaging artifacts at the source: first experimental results from the respiratory adaptive computed tomography (REACT) system.,jour.1018310,Physics in Medicine and Biology,65,7,ur.0731267322.21
20,2020,11,article,pub.1125954265,Real-Time Image Guided Ablative Prostate Cancer Radiation Therapy: Results From the TROG 15.01 SPARK Trial,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,107,3,ur.0731267322.21
21,2020,3,article,pub.1123024934,The first prospective implementation of markerless lung target tracking in an experimental quality assurance procedure on a standard linear accelerator.,jour.1018310,Physics in Medicine and Biology,65,2,ur.0731267322.21
22,2019,7,article,pub.1122947957,Simulated multileaf collimator tracking for stereotactic liver radiotherapy guided by kilovoltage intrafraction monitoring: Dosimetric gain and target overdose trends,jour.1094728,Radiotherapy and Oncology,144,,ur.0731267322.21
23,2019,8,article,pub.1120525151,The accuracy and precision of the KIM motion monitoring system used in the multi‐institutional TROG 15.01 Stereotactic Prostate Ablative Radiotherapy with KIM (SPARK) trial,jour.1020133,Medical Physics,46,11,ur.0731267322.21
24,2019,4,article,pub.1117295169,Dual cardiac and respiratory gated thoracic imaging via adaptive gantry velocity and projection rate modulation on a linear accelerator: A Proof‐of‐Concept Simulation Study,jour.1020133,Medical Physics,46,9,ur.0731267322.21
25,2019,7,article,pub.1113485608,A six-degree-of-freedom robotic motion system for quality assurance of real-time image-guided radiotherapy.,jour.1018310,Physics in Medicine and Biology,64,10,ur.0731267322.21
26,2019,2,article,pub.1114853000,PO-0842 Real-Time tracking improves treatment: The TROG Stereo Prostate Ablative Radiotherapy with KIM trial,jour.1094728,Radiotherapy and Oncology,133,,ur.0731267322.21
27,2019,0,article,pub.1114838193,EP-1980 Randomised trial investigating breathing regularity: Audiovisual biofeedback vs free breathing,jour.1094728,Radiotherapy and Oncology,133,,ur.0731267322.21
28,2019,2,article,pub.1112095619,Real-time respiratory triggered four dimensional cone-beam CT halves imaging dose compared to conventional 4D CBCT.,jour.1018310,Physics in Medicine and Biology,64,7,ur.0731267322.21
29,2019,30,article,pub.1112755215,Both four-dimensional computed tomography and four-dimensional cone beam computed tomography under-predict lung target motion during radiotherapy,jour.1094728,Radiotherapy and Oncology,135,,ur.0731267322.21
30,2019,3,article,pub.1111843426,Towards patient connected imaging with ACROBEAT: Adaptive CaRdiac cOne BEAm computed Tomography.,jour.1018310,Physics in Medicine and Biology,64,6,ur.0731267322.21
31,2019,2,article,pub.1111912290,Technical Note: In silico and experimental evaluation of two leaf‐fitting algorithms for MLC tracking based on exposure error and plan complexity,jour.1020133,Medical Physics,46,4,ur.0731267322.21
32,2019,5,article,pub.1110885278,Development and commissioning of a full‐size prototype fixed‐beam radiotherapy system with horizontal patient rotation,jour.1020133,Medical Physics,46,3,ur.0731267322.21
33,2018,1,article,pub.1110536528,In Reply to Dahele and Verbakel,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,103,1,ur.0731267322.21
34,2018,0,article,pub.1107726861,First-in-Human Clinical Experience with Real-Time Tumor Targeting Via MLC Tracking for Stereotactic Radiation Therapy of Lung Cancer,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,102,3,ur.0731267322.21
35,2018,0,article,pub.1107723788,Kilovoltage Intrafraction Monitoring (KIM) Real-Time Tracking Improves Patient Dose Distributions: Interim Primary Hypothesis Results from the First 20 Patients on the TROG 15.01 Stereotactic Prostate Ablative Radiation Therapy SPARK Trial,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,102,3,ur.0731267322.21
36,2018,3,article,pub.1107047411,Cone-beam CT reconstruction with gravity-induced motion.,jour.1018310,Physics in Medicine and Biology,63,20,ur.0731267322.21
37,2018,4,article,pub.1106678482,An augmented correlation framework for the estimation of tumour translational and rotational motion during external beam radiotherapy treatments using intermittent monoscopic x-ray imaging and an external respiratory signal.,jour.1018310,Physics in Medicine and Biology,63,20,ur.0731267322.21
38,2018,10,article,pub.1106834038,Investigating multi-leaf collimator tracking in stereotactic arrhythmic radioablation (STAR) treatments for atrial fibrillation.,jour.1018310,Physics in Medicine and Biology,63,19,ur.0731267322.21
39,2018,4,article,pub.1106274161,Technical Note: Real‐time image‐guided adaptive radiotherapy of a rigid target for a prototype fixed beam radiotherapy system,jour.1020133,Medical Physics,45,10,ur.0731267322.21
40,2018,7,article,pub.1105104444,An in silico performance characterization of respiratory motion guided 4DCT for high-quality low-dose lung cancer imaging.,jour.1018310,Physics in Medicine and Biology,63,15,ur.0731267322.21
41,2018,26,article,pub.1103262973,Review of Real-Time 3-Dimensional Image Guided Radiation Therapy on Standard-Equipped Cancer Radiation Therapy Systems: Are We at the Tipping Point for the Era of Real-Time Radiation Therapy?,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,102,4,ur.0731267322.21
42,2018,7,article,pub.1101752245,Potential improvements of lung and prostate MLC tracking investigated by treatment simulations,jour.1020133,Medical Physics,45,5,ur.0731267322.21
43,2018,0,article,pub.1104900783,PO-0948: Use of an interdimensional correlation framework to estimate real-time intrafraction 6DoF motions,jour.1094728,Radiotherapy and Oncology,127,,ur.0731267322.21
44,2018,10,article,pub.1101112941,The accuracy and precision of Kilovoltage Intrafraction Monitoring (KIM) six degree-of-freedom prostate motion measurements during patient treatments,jour.1094728,Radiotherapy and Oncology,126,2,ur.0731267322.21
45,2018,37,article,pub.1100897200,The first clinical implementation of real-time image-guided adaptive radiotherapy using a standard linear accelerator,jour.1094728,Radiotherapy and Oncology,127,1,ur.0731267322.21
46,2018,14,article,pub.1100830652,Electromagnetic-Guided MLC Tracking Radiation Therapy for Prostate Cancer Patients: Prospective Clinical Trial Results,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,101,2,ur.0731267322.21
47,2018,0,article,pub.1100829313,Impact of audiovisual biofeedback on interfraction respiratory motion reproducibility in liver cancer stereotactic body radiotherapy,jour.1005890,Journal of Medical Imaging and Radiation Oncology,62,1,ur.0731267322.21
48,2017,4,article,pub.1092550815,An interdimensional correlation framework for real-time estimation of six degree of freedom target motion using a single x-ray imager during radiotherapy.,jour.1018310,Physics in Medicine and Biology,63,1,ur.0731267322.21
49,2017,2,article,pub.1091907803,The First Clinical Implementation of Real-time Adaptive Radiation Therapy Using a Standard Linear Accelerator,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,99,2,ur.0731267322.21
50,2017,0,article,pub.1091907648,The Design and Function of a Horizontal Patient Rotation System for the Purposes of Fixed Beam Cancer Radiation Therapy,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,99,2,ur.0731267322.21
51,2017,22,article,pub.1086154974,MLC tracking for lung SABR reduces planning target volumes and dose to organs at risk,jour.1094728,Radiotherapy and Oncology,124,1,ur.0731267322.21
52,2017,10,article,pub.1086151790,Quantifying the accuracy and precision of a novel real-time 6 degree-of-freedom kilovoltage intrafraction monitoring (KIM) target tracking system.,jour.1018310,Physics in Medicine and Biology,62,14,ur.0731267322.21
53,2017,10,article,pub.1084014906,Technical Note: The design and function of a horizontal patient rotation system for the purposes of fixed‐beam cancer radiotherapy,jour.1020133,Medical Physics,44,6,ur.0731267322.21
54,2017,10,article,pub.1085349587,Reducing 4DCBCT imaging time and dose: the first implementation of variable gantry speed 4DCBCT on a linear accelerator.,jour.1018310,Physics in Medicine and Biology,62,11,ur.0731267322.21
55,2017,31,article,pub.1084104858,The first clinical implementation of a real-time six degree of freedom target tracking system during radiation therapy based on Kilovoltage Intrafraction Monitoring (KIM),jour.1094728,Radiotherapy and Oncology,123,1,ur.0731267322.21
56,2017,7,article,pub.1084056143,Audiovisual biofeedback guided breath-hold improves lung tumor position reproducibility and volume consistency,jour.1053161,Advances in Radiation Oncology,2,3,ur.0731267322.21
57,2017,29,article,pub.1084250514,Stereotactic prostate adaptive radiotherapy utilising kilovoltage intrafraction monitoring: the TROG 15.01 SPARK trial,jour.1024632,BMC Cancer,17,1,ur.0731267322.21
58,2017,0,article,pub.1050575684,P2.05-043 Lung Tumor Motion Kilovoltage Intrafraction Monitoring (KIM): First Clinical Results Topic: RT Techniques,jour.1036857,Journal of Thoracic Oncology,12,1,ur.0731267322.21
59,2017,0,article,pub.1015283373,MA13.02 First-In-Human Clinical Experience with Real-Time Tumor Targeting via MLC Tracking for Stereotactic Radiotherapy of Lung Cancer,jour.1036857,Journal of Thoracic Oncology,12,1,ur.0731267322.21
60,2016,0,article,pub.1040363705,Primary and Secondary Outcome Measure Results From the First Prospective Clinical Trial of Electromagnetic-Guided MLC Tracking Radiation Therapy for Prostate Cancer,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,96,2,ur.0731267322.21
61,2016,2,article,pub.1024771941,First Clinical Implementation of Electromagnetic Transponder-Guided MLC Tracking for Lung Stereotactic Ablative Radiation Therapy,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,96,2,ur.0731267322.21
62,2016,9,article,pub.1012264009,Functional imaging equivalence and proof of concept for image-guided adaptive radiotherapy with fixed gantry and rotating couch,jour.1053161,Advances in Radiation Oncology,1,4,ur.0731267322.21
63,2016,72,article,pub.1030854132,The first patient treatment of electromagnetic-guided real time adaptive radiotherapy using MLC tracking for lung SABR,jour.1094728,Radiotherapy and Oncology,121,1,ur.0731267322.21
64,2016,0,article,pub.1062226771,TH-AB-202-12: The First Clinical Implementation of a Real-Time Six Degree of Freedom Tracking System During Radiation Therapy,jour.1020133,Medical Physics,43,6Part44,ur.0731267322.21
65,2016,0,article,pub.1062226769,TH-AB-202-10: Quantifying the Accuracy and Precision of Six Degree-Of-Freedom Motion Estimation for Use in Real-Time Tumor Motion Monitoring During Radiotherapy,jour.1020133,Medical Physics,43,6Part44,ur.0731267322.21
66,2016,2,article,pub.1062226461,WE-AB-207A-11: Respiratory Motion Guided 4DCBCT - A Step Towards Controlling 4DCBCT Image Quality,jour.1020133,Medical Physics,43,6Part39,ur.0731267322.21
67,2016,7,article,pub.1062226001,MO-FG-BRA-06: Electromagnetic Beacon Insertion in Lung Cancer Patients and Resultant Surrogacy Errors for Dynamic MLC Tumour Tracking,jour.1020133,Medical Physics,43,6Part31,ur.0731267322.21
68,2016,0,article,pub.1062225694,SU-G-JeP1-12: Head-To-Head Performance Characterization of Two Multileaf Collimator Tracking Algorithms for Radiotherapy,jour.1020133,Medical Physics,43,6Part26,ur.0731267322.21
69,2016,0,article,pub.1062224803,SU-F-J-136: Impact of Audiovisual Biofeedback On Interfraction Motion Over a Course of Liver Cancer Stereotactic Body Radiotherapy,jour.1020133,Medical Physics,43,6Part10,ur.0731267322.21
70,2016,14,article,pub.1059031860,The first implementation of respiratory triggered 4DCBCT on a linear accelerator.,jour.1018310,Physics in Medicine and Biology,61,9,ur.0731267322.21
71,2016,0,article,pub.1048222989,EP-1742: The first clinical implementation of audiovisual biofeedback in liver cancer SBRT,jour.1094728,Radiotherapy and Oncology,119,,ur.0731267322.21
72,2016,0,article,pub.1045764910,EP-1928: The Nano-X image-guided adaptive gantry-less linac: imaging and dosimetry under phantom rotation,jour.1094728,Radiotherapy and Oncology,119,,ur.0731267322.21
73,2016,39,article,pub.1023247080,"Real-Time 3D Image Guidance Using a Standard LINAC: Measured Motion, Accuracy, and Precision of the First Prospective Clinical Trial of Kilovoltage Intrafraction Monitoring–Guided Gating for Prostate Cancer Radiation Therapy",jour.1085033,International Journal of Radiation Oncology • Biology • Physics,94,5,ur.0731267322.21
74,2015,4,article,pub.1015414128,Technical Note: A novel leaf sequencing optimization algorithm which considers previous underdose and overdose events for MLC tracking radiotherapy,jour.1020133,Medical Physics,43,1,ur.0731267322.21
75,2015,13,article,pub.1059031131,Quantifying the image quality and dose reduction of respiratory triggered 4D cone-beam computed tomography with patient-measured breathing.,jour.1018310,Physics in Medicine and Biology,60,24,ur.0731267322.21
76,2015,22,article,pub.1015556911,Audiovisual Biofeedback Improves Cine–Magnetic Resonance Imaging Measured Lung Tumor Motion Consistency,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,94,3,ur.0731267322.21
77,2015,2,article,pub.1024602903,First clinical implementation of audiovisual biofeedback in liver cancer stereotactic body radiation therapy,jour.1005890,Journal of Medical Imaging and Radiation Oncology,59,5,ur.0731267322.21
78,2015,9,article,pub.1011271490,Audiovisual biofeedback breathing guidance for lung cancer patients receiving radiotherapy: a multi-institutional phase II randomised clinical trial,jour.1024632,BMC Cancer,15,1,ur.0731267322.21
79,2015,0,article,pub.1062222077,SU-E-J-57: First Development of Adapting to Intrafraction Relative Motion Between Prostate and Pelvic Lymph Nodes Targets,jour.1020133,Medical Physics,42,6Part8,ur.0731267322.21
80,2015,9,article,pub.1059030842,Determining appropriate imaging parameters for kilovoltage intrafraction monitoring: an experimental phantom study.,jour.1018310,Physics in Medicine and Biology,60,12,ur.0731267322.21
81,2015,0,article,pub.1062224091,TH-AB-303-09: Gated Prostate Radiotherapy: Accuracy and Dosimetric Results From First Clinical Study with Kilovoltage Intrafraction Monitoring,jour.1020133,Medical Physics,42,6,ur.0731267322.21
82,2015,0,article,pub.1062224086,TH-AB-303-04: A Novel Leaf Sequencing Optimization Algorithm Which Considers Previous Underdose and Overdose Events for MLC Tracking Radiotherapy,jour.1020133,Medical Physics,42,6,ur.0731267322.21
83,2015,55,article,pub.1037027700,Multileaf Collimator Tracking Improves Dose Delivery for Prostate Cancer Radiation Therapy: Results of the First Clinical Trial,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,92,5,ur.0731267322.21
84,2015,0,article,pub.1041951721,EP-1489: Kilovoltage intrafraction monitoring trial for gated prostate radiotherapy: initial dosimetric results,jour.1094728,Radiotherapy and Oncology,115,,ur.0731267322.21
85,2015,0,article,pub.1025276756,PD-0234: Prospective MLC tracking trial: improved consistency of dose delivery for prostate cancer radiotherapy,jour.1094728,Radiotherapy and Oncology,115,,ur.0731267322.21
86,2015,9,article,pub.1059031026,Improving thoracic four-dimensional cone-beam CT reconstruction with anatomical-adaptive image regularization (AAIR).,jour.1018310,Physics in Medicine and Biology,60,2,ur.0731267322.21
87,2014,60,article,pub.1048598062,The first clinical treatment with kilovoltage intrafraction monitoring (KIM): A real‐time image guidance method,jour.1020133,Medical Physics,42,1,ur.0731267322.21
88,2014,22,article,pub.1040639316,Quality assurance for the clinical implementation of kilovoltage intrafraction monitoring for prostate cancer VMAT,jour.1020133,Medical Physics,41,11,ur.0731267322.21
89,2014,14,article,pub.1059030460,Optimizing 4DCBCT projection allocation to respiratory bins.,jour.1018310,Physics in Medicine and Biology,59,19,ur.0731267322.21
90,2014,1,article,pub.1015470338,First Clinical Implementation of Electromagnetic Transponder-Guided MLC Tracking,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,90,1,ur.0731267322.21
91,2014,0,article,pub.1012982271,Performance Improvement of MLC Tracking Investigated With an Experimentally Validated Tracking Simulator,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,90,1,ur.0731267322.21
92,2014,0,article,pub.1010928082,Clinical Process and Quality Assurance Practices for the Clinical Implementation of Kilovoltage Intrafraction Monitoring (KIM) for Real-Time Image-Guided Prostate Cancer VMAT,jour.1085033,International Journal of Radiation Oncology • Biology • Physics,90,1,ur.0731267322.21
93,2014,36,article,pub.1039275595,DMLC tracking and gating can improve dose coverage for prostate VMAT,jour.1020133,Medical Physics,41,9,ur.0731267322.21
94,2014,46,article,pub.1033434958,Toward the development of intrafraction tumor deformation tracking using a dynamic multi‐leaf collimator,jour.1020133,Medical Physics,41,6Part1,ur.0731267322.21
95,2014,32,article,pub.1047913685,"Image quality in thoracic 4D cone‐beam CT: A sensitivity analysis of respiratory signal, binning method, reconstruction algorithm, and projection angular spacing",jour.1020133,Medical Physics,41,4,ur.0731267322.21
96,2014,131,article,pub.1000559814,The first clinical implementation of electromagnetic transponder‐guided MLC tracking,jour.1020133,Medical Physics,41,2,ur.0731267322.21
97,2014,16,article,pub.1059030617,Respiratory motion guided four dimensional cone beam computed tomography: encompassing irregular breathing.,jour.1018310,Physics in Medicine and Biology,59,3,ur.0731267322.21
98,2014,0,article,pub.1048419340,SP-0435: Real-time dose reconstruction during volumetric modulated arc therapy with dynamic MLC tracking,jour.1094728,Radiotherapy and Oncology,111,,ur.0731267322.21
99,2013,38,article,pub.1059030068,Real-time estimation of prostate tumor rotation and translation with a kV imaging system based on an iterative closest point algorithm,jour.1018310,Physics in Medicine and Biology,58,23,ur.0731267322.21
100,2013,9,article,pub.1009287123,The impact of leaf width and plan complexity on DMLC tracking of prostate intensity modulated arc therapy,jour.1020133,Medical Physics,40,11,ur.0731267322.21
